epoch,step,train_loss_step
0,49,0.012789487838745117
0,99,0.008806579746305943
0,149,0.007458904292434454
0,199,0.005970533937215805
0,249,0.005641865078359842
0,299,0.002982033183798194
0,349,0.0021243735682219267
0,399,0.0015514002880081534
0,449,0.0019331657094880939
0,499,0.001083437935449183
0,549,0.001173715922050178
0,599,0.0010362305911257863
0,649,0.0013289502821862698
0,699,0.000764844415243715
0,749,0.0007277198601514101
0,799,0.0008986096363514662
0,849,0.0008290086989291012
0,899,0.0006301910616457462
0,949,0.000749262748286128
