epoch,step,train_loss_epoch,train_loss_step,val_loss
0,13,,,0.08428669720888138
0,13,0.0972549095749855,,
1,27,,,0.06599927693605423
1,27,0.07731131464242935,,
2,41,,,0.03770320862531662
2,41,0.05475407466292381,,
3,49,,0.02183646894991398,
3,55,,,0.011873072013258934
3,55,0.024142172187566757,,
4,69,,,0.005976143293082714
4,69,0.008346179500222206,,
5,83,,,0.004307054448872805
5,83,0.00490549998357892,,
6,97,,,0.0033887894824147224
6,97,0.003634124528616667,,
7,99,,0.003068693680688739,
7,111,,,0.0028692896012216806
7,111,0.0029654514510184526,,
8,125,,,0.0025576232001185417
8,125,0.002567396266385913,,
9,139,,,0.002326597459614277
9,139,0.0023178744595497847,,
